sec_code,edinet_code
66660,E02093
66640,E02095
78360,E02096
66630,E02097
66620,E02100
34360,E02103
72130,E02105
66580,E02109
66380,E02114
66350,E02116
66330,E02120
34410,E02121
70030,E02123
70040,E02124
70110,E02126
70120,E02127
70130,E02128
70140,E02129
70180,E02131
71020,E02134
71050,E02136
71220,E02138
72760,E02140
72010,E02142
72020,E02143
72030,E02144
72050,E02146
72420,E02147
72220,E02150
72700,E02152
72460,E02154
72360,E02155
72350,E02158
72380,E02161
72830,E02162
72610,E02163
72670,E02166
72690,E02167
72720,E02168
72260,E02170
60420,E02171
72470,E02172
63560,E02173
72560,E02174
72450,E02175
72400,E02176
72440,E02177
63920,E02180
72540,E02183
56440,E02185
64930,E02189
59490,E02194
72410,E02195
64700,E02199
72770,E02201
72780,E02203
72790,E02204
72800,E02205
72390,E02210
72110,E02213
72870,E02214
72910,E02216
72920,E02217
72940,E02219
72960,E02221
59890,E02222
72970,E02223
72990,E02225
72730,E02226
72710,E02227
59700,E02228
72120,E02229
72660,E02231
72650,E02232
72270,E02233
72640,E02234
72290,E02236
72200,E02237
72190,E02238
72180,E02241
72170,E02242
34340,E02245
72150,E02246
72140,E02247
72080,E02248
72240,E02252
73090,E02257
73050,E02258
77010,E02265
77210,E02266
77230,E02267
77260,E02269
77270,E02270
77310,E02271
77330,E02272
77510,E02274
77520,E02275
80500,E02280
77620,E02281
77340,E02285
68500,E02286
77350,E02288
77290,E02289
69660,E02293
77690,E02294
59570,E02296
77390,E02301
77020,E02303
69600,E02304
79990,E02305
68580,E02306
68590,E02307
77400,E02308
35930,E02315
77440,E02322
77130,E02323
68880,E02324
77710,E02325
63230,E02328
77150,E02329
77160,E02331
67880,E02333
77170,E02334
77220,E02335
77250,E02336
77090,E02337
77070,E02338
77300,E02340
67780,E02342
61560,E02343
77450,E02344
66780,E02345
66770,E02346
42370,E02348
77470,E02349
62660,E02350
77600,E02352
77490,E02354
66560,E02356
77740,E02357
79510,E02362
79520,E02363
79920,E02365
79760,E02366
79740,E02367
79940,E02369
79720,E02371
79970,E02372
79810,E02373
79830,E02376
79910,E02377
79360,E02378
59430,E02379
73130,E02380
64540,E02381
79900,E02382
79800,E02383
79850,E02385
79880,E02386
72840,E02387
79700,E02388
79890,E02389
69610,E02390
79660,E02394
79650,E02395
79630,E02396
79620,E02398
79570,E02402
64120,E02403
79560,E02404
79550,E02406
79500,E02407
79490,E02408
59060,E02409
64130,E02410
68630,E02411
79470,E02412
77430,E02414
79430,E02415
51870,E02416
96970,E02417
64170,E02419
62910,E02421
79170,E02423
64190,E02424
79080,E02425
79060,E02427
79020,E02428
69070,E02431
78850,E02435
59820,E02438
78780,E02439
78770,E02441
59560,E02442
78740,E02444
59650,E02445
73990,E02447
59030,E02448
78670,E02450
64250,E02452
78600,E02453
48160,E02458
78510,E02459
64000,E02462
78470,E02464
78460,E02466
78440,E02467
62670,E02469
78390,E02470
78400,E02472
49740,E02474
64600,E02475
42380,E02477
61590,E02478
37910,E02480
78320,E02481
42400,E02483
29290,E02484
78260,E02485
62570,E02488
38510,E02489
43690,E02490
34390,E02491
78210,E02492
34400,E02493
42430,E02494
80010,E02497
80020,E02498
80070,E02501
80930,E02503
80150,E02505
80200,E02506
80140,E02509
80320,E02510
80610,E02512
80310,E02513
80570,E02515
92740,E02516
80980,E02517
80840,E02518
80160,E02521
80750,E02522
80740,E02525
80700,E02527
80530,E02528
80580,E02529
80410,E02530
80180,E02534
80650,E02535
30040,E02542
82910,E02544
30230,E02547
31760,E02548
81010,E02549
80120,E02552
74850,E02553
80780,E02554
80510,E02560
80760,E02561
81030,E02563
80300,E02566
80880,E02567
19480,E02569
80770,E02570
80390,E02571
80520,E02572
80430,E02574
28740,E02576
80590,E02578
80850,E02579
80810,E02580
80890,E02584
80950,E02585
80250,E02588
80660,E02602
423A0,E02604
81290,E02608
81040,E02610
80560,E02611
80450,E02615
80460,E02616
81250,E02618
80080,E02621
81050,E02627
81070,E02628
74590,E02632
81580,E02635
81150,E02639
81170,E02642
81330,E02643
80600,E02644
81180,E02645
81450,E02646
81190,E02647
81230,E02650
80350,E02652
81360,E02655
81370,E02656
81380,E02658
81390,E02660
81410,E02664
81420,E02665
81440,E02666
81470,E02668
81500,E02671
81510,E02672
81520,E02673
81530,E02675
81540,E02676
81590,E02678
80400,E02679
80790,E02681
80370,E02682
80230,E02683
80710,E02684
49560,E02686
80860,E02688
82830,E02691
82850,E02692
82750,E02693
82280,E02698
82260,E02699
98300,E02701
98370,E02703
98420,E02706
98450,E02708
98490,E02711
98570,E02713
98560,E02714
98670,E02718
98690,E02719
98720,E02722
98800,E02724
98850,E02727
98880,E02728
98890,E02729
98960,E02732
98820,E02735
98160,E02738
98180,E02739
98200,E02740
98240,E02742
98270,E02743
99020,E02745
99060,E02747
99080,E02749
99130,E02752
99140,E02753
99290,E02759
99320,E02760
99340,E02761
99410,E02762
99550,E02765
36120,E02767
99600,E02769
99620,E02770
35980,E02773
99720,E02774
99730,E02775
99820,E02776
99840,E02778
99860,E02779
99870,E02780
99910,E02782
99960,E02786
82250,E02787
74130,E02791
74170,E02792
74220,E02794
74250,E02797
74260,E02798
50150,E02800
74270,E02801
74330,E02802
74340,E02803
74380,E02804
74420,E02805
74430,E02806
74440,E02807
74470,E02809
74460,E02810
31530,E02812
74410,E02813
75380,E02818
74560,E02821
74610,E02823
74580,E02824
74600,E02825
74630,E02826
74660,E02827
74750,E02832
74720,E02833
74760,E02835
74770,E02836
74810,E02837
74800,E02838
74820,E02839
74830,E02840
74860,E02841
74870,E02842
74880,E02843
74900,E02845
75000,E02847
75010,E02848
75040,E02850
75100,E02851
75210,E02855
75250,E02856
75270,E02858
75310,E02861
75370,E02864
75390,E02865
75520,E02869
75510,E02870
75550,E02871
75650,E02875
34200,E02876
72280,E02877
75670,E02878
75700,E02879
75750,E02881
78650,E02882
75900,E02888
75930,E02889
75990,E02892
76000,E02894
76020,E02895
76070,E02896
76080,E02897
76090,E02898
76130,E02900
76190,E02902
76240,E02903
76280,E02905
47430,E02909
26540,E02917
34260,E02920
26670,E02922
26680,E02923
26700,E02925
26760,E02927
26890,E02928
26920,E02931
26930,E02932
27000,E02934
27080,E02938
27370,E02946
27330,E02947
27500,E02952
27510,E02953
27600,E02955
27680,E02958
27760,E02960
27840,E02962
27880,E02963
27950,E02964
33200,E02967
33210,E02968
33230,E02971
33500,E02978
33550,E02979
78370,E02980
33590,E02982
33740,E02986
33770,E02988
33840,E02989
33860,E02991
33880,E02992
33920,E02994
30350,E02995
30240,E02997
30360,E02998
30380,E02999
30450,E03000
30550,E03003
30700,E03004
30790,E03005
30760,E03006
30890,E03007
82330,E03013
82370,E03017
82420,E03020
82440,E03021
82470,E03025
82600,E03032
